client_id,accuracy,f1
7,0.204,0.14141154474799494
7,0.307,0.28302455438827323
7,0.388,0.3784553978288443
7,0.415,0.40272253268207514
7,0.435,0.421114549522816
7,0.441,0.43727367471383943
7,0.464,0.4622395820290846
7,0.49,0.4763811849205439
7,0.474,0.4608916482044808
7,0.476,0.4712687459817043
7,0.502,0.49923720400512667
7,0.519,0.5160103180990536
7,0.499,0.49846331720308534
7,0.489,0.49122748382592407
7,0.533,0.5301977003143911
7,0.538,0.5303130907828837
7,0.542,0.5314826127569258
7,0.539,0.5344406654110245
7,0.55,0.5441047706611741
7,0.556,0.5486504250430786
7,0.549,0.5371806190483819
7,0.539,0.5358052565026349
7,0.551,0.5431523228874843
7,0.569,0.5585130922074734
7,0.547,0.5372482515577084
7,0.557,0.5516524388545843
7,0.557,0.5476135721822368
7,0.56,0.5556985642607049
7,0.556,0.548024564398182
7,0.555,0.5386339854727621
7,0.531,0.5237844366776048
7,0.552,0.548292148381594
7,0.55,0.5372332464631072
7,0.549,0.5352402905487288
7,0.57,0.5603605789902338
7,0.544,0.5344110990377787
7,0.551,0.5425588621361247
7,0.538,0.5262205292188085
7,0.555,0.5437630656107789
7,0.552,0.5417113620202859
7,0.555,0.5447639287711615
7,0.547,0.5409047949952914
7,0.548,0.5416019376635229
7,0.535,0.5244427988707676
7,0.538,0.5297521110531228
7,0.538,0.532513585813718
7,0.537,0.5279691935903046
7,0.541,0.5343638748216959
7,0.549,0.5396089251089989
7,0.534,0.5292085168968013
