client_id,accuracy,f1
7,0.041,0.011442913292561658
7,0.089,0.04127721756726696
7,0.117,0.07157089756171085
7,0.14,0.09528484131602345
7,0.157,0.11097896078978026
7,0.175,0.12758691411171377
7,0.191,0.14720970507783815
7,0.19,0.14763616689844597
7,0.189,0.14719263035161698
7,0.223,0.18247546567971853
7,0.213,0.18140730875335082
7,0.227,0.18579065993515662
7,0.242,0.21057690713995572
7,0.224,0.19134574153588296
7,0.248,0.22245583600067875
7,0.244,0.21644833678622086
7,0.242,0.21939576718421058
7,0.232,0.20256827625555324
7,0.243,0.21644669717166878
7,0.24,0.21038237733889611
7,0.25,0.22467155914065504
7,0.243,0.21933846209051316
7,0.255,0.22812140934217942
7,0.234,0.2067599196967901
7,0.257,0.2267070561887363
7,0.249,0.22464691138923645
7,0.248,0.2229059342287565
7,0.252,0.22742744788209637
7,0.251,0.22464254209784829
7,0.254,0.23169761886890544
7,0.258,0.23549632451112398
7,0.255,0.22804726794295235
7,0.246,0.22087326249289363
7,0.253,0.2326350819933786
7,0.259,0.23889449986981426
7,0.247,0.22694476874023767
7,0.246,0.2222240234717869
7,0.244,0.2239081379234996
7,0.238,0.21457269613981192
7,0.238,0.21699189549387818
7,0.241,0.21633469382227374
7,0.231,0.21036145848114335
7,0.242,0.2202366968140654
7,0.234,0.2140731281787315
7,0.24,0.22375154816604836
7,0.222,0.20683356754987617
7,0.218,0.20215766924568332
7,0.214,0.19314725926845322
7,0.238,0.21622728810055875
7,0.224,0.21162128308554373
