client_id,accuracy,f1
6,0.245,0.19854789763289082
6,0.348,0.324325632684321
6,0.384,0.37024656953871704
6,0.409,0.39702717889144346
6,0.432,0.42218918186915244
6,0.446,0.43651018709821
6,0.465,0.4576058100008821
6,0.476,0.4684658223966445
6,0.493,0.48815917833598627
6,0.493,0.48551975645452944
6,0.504,0.5014636851106988
6,0.51,0.5062274163902136
6,0.517,0.5119263652413698
6,0.524,0.5184664685725515
6,0.53,0.5280069452817705
6,0.534,0.5287176946127976
6,0.543,0.5380863198282877
6,0.55,0.5463814679411999
6,0.545,0.5431635153489341
6,0.549,0.54822419062212
6,0.549,0.548016701847853
6,0.557,0.5548305795934825
6,0.566,0.5626416856366341
6,0.563,0.5561431434501363
6,0.564,0.5613261034923612
6,0.561,0.5595002001139566
6,0.563,0.562379325446796
6,0.57,0.5685148335536521
6,0.583,0.5822964973655529
6,0.573,0.5712834580943952
6,0.573,0.5733736731835701
6,0.573,0.5695346158435569
6,0.574,0.5720233584308859
6,0.573,0.5703707743385417
6,0.58,0.5764521178715393
6,0.592,0.5894845277237468
6,0.58,0.5792907641215479
6,0.586,0.5843996637806097
6,0.589,0.5837879723964832
6,0.588,0.5874992796253167
6,0.589,0.5856499232944926
6,0.597,0.5943175346182691
6,0.59,0.5883266613553136
6,0.587,0.5838390057084687
6,0.594,0.5918223106524986
6,0.593,0.5914827955736792
6,0.589,0.5893793116174777
6,0.599,0.5975688407487623
6,0.6,0.5981611873541361
6,0.598,0.5954570992674328
