client_id,accuracy,f1
7,0.087,0.03214592667004438
7,0.089,0.03427534781851216
7,0.108,0.044003854583931676
7,0.12,0.05023611028885433
7,0.136,0.06482635185878376
7,0.155,0.09556283993783994
7,0.175,0.10934451197609092
7,0.178,0.10720357909301632
7,0.219,0.14188682603592084
7,0.239,0.19328347533507256
7,0.284,0.2381725050212725
7,0.295,0.2530493912698383
7,0.303,0.2623144253413091
7,0.311,0.2702211365088015
7,0.319,0.27519285016060213
7,0.348,0.322150177492801
7,0.346,0.31133780921674964
7,0.354,0.3152045888939169
7,0.356,0.3205098094432346
7,0.382,0.3484600757388058
7,0.381,0.34941646547566496
7,0.398,0.366541660159236
7,0.404,0.37963900608585543
7,0.405,0.3751475561317886
7,0.424,0.40161267354543256
7,0.439,0.41903043809496693
7,0.434,0.41337354232522505
7,0.433,0.41324650372993305
7,0.45,0.43135385876054755
7,0.448,0.43020589908074625
7,0.461,0.44086633395298974
7,0.466,0.4479986376777719
7,0.467,0.4470466239508709
7,0.462,0.4377914589212629
7,0.478,0.456075450810068
7,0.473,0.4589411905573173
7,0.486,0.4680532269174737
7,0.488,0.47499074182821993
7,0.495,0.4830117928810746
7,0.494,0.48157571695846296
7,0.503,0.4879349568372728
7,0.505,0.49188174647287186
7,0.509,0.4960763786547485
7,0.512,0.49942823301334593
7,0.515,0.5017456657259436
7,0.516,0.5034266099295446
7,0.516,0.5059158642791673
7,0.528,0.5194166212308253
7,0.524,0.516242003192259
7,0.528,0.5165772685820129
